author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,paisSN
71709045,Ale27CSH,2009-09-05T02:54:38.000Z,False,516,962,1240,0,23,8461,6,10,0,0,17,1,0,12,0,0,5,0,0,1,0,36,1
72870760,EdwinGomezVP,2009-09-09T14:56:55.000Z,False,6963,5664,84475,49,558,276688,2,21,0,5,205,0,4,125,0,1,3,0,1,12,0,356,1
368149151,mscalero71,2011-09-05T05:01:16.000Z,False,19,77,99,0,3,25,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,7,1
67423092,ItsKarlaLaya,2009-08-20T20:59:28.000Z,False,453,1186,5080,1,15,16806,0,1,0,0,8,0,0,7,0,0,1,0,0,0,0,16,0
97801756,ricardomarbo,2009-12-19T02:44:49.000Z,False,76,115,119,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1
305210578,novich04,2011-05-25T20:46:24.000Z,False,1494,787,58065,16,1515,49841,673,2609,30,93,216,82,18,20,11,88,146,71,2,11,8,766,1
313621728,Rafa_Cambronero,2011-06-08T23:20:38.000Z,False,1750,866,6310,7,77,63302,3,24,0,3,19,1,0,5,0,2,3,1,0,0,0,34,1
2173352633,ruthsm2010,2013-11-08T13:26:15.000Z,False,187,946,7135,0,88,2,22,57,0,18,35,9,0,0,1,16,24,9,0,1,0,113,1
60142381,silvysmdo,2009-07-25T20:30:36.000Z,False,145,765,4328,4,191,517682,35,73,0,3,101,0,3,70,0,0,8,0,1,18,0,204,1
1334185296833949697,AxelMA07,2020-12-02T17:19:13.000Z,False,2,75,50,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
1334807465154719744,JorgeZunigaagu2,2020-12-04T10:31:42.000Z,False,1459,2134,2556,1,448,268271,64,1034,1,10,275,4,9,168,0,5,41,3,0,1,0,516,1
1336474767302529024,PonwBuuren1,2020-12-09T00:56:43.000Z,False,0,5,36,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119403977,wonderkrys,2010-03-03T14:58:35.000Z,False,216,545,2437,3,20,122307,2,4,0,0,22,0,0,9,0,0,1,0,0,3,0,35,0
130859766,armanswall,2010-04-08T15:01:02.000Z,False,95,202,5871,0,125,3825,3,13,0,6,26,0,1,17,0,4,8,0,3,6,0,71,1
134024284,ifarji,2010-04-17T07:27:42.000Z,False,152,2251,2527,3,60,509611,2,4,0,0,69,0,0,43,0,0,9,0,0,0,0,121,0
1357925631711973377,soy_daniela_r,2021-02-06T05:34:47.000Z,False,4,9,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
635063824,dmontenegro2022,2012-07-14T03:10:45.000Z,False,168,110,845,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73551813,jp_costarica,2009-09-12T02:44:53.000Z,False,64,333,1649,0,99,85744,17,22,0,14,84,3,1,18,0,9,43,3,0,4,0,179,1
75378985,CinthyaAraya,2009-09-18T20:36:15.000Z,False,329,591,5467,1,35,1376,2,23,0,2,4,1,1,4,0,1,0,1,0,6,0,20,1
75706861,ALeCfromCR,2009-09-20T03:09:10.000Z,False,50,502,218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98660401,emijhay,2009-12-22T15:43:52.000Z,False,1079,705,71001,0,1190,843965,508,1443,5,0,201,0,0,95,0,0,94,0,0,43,0,433,0
842744205910986752,CLANJBGA20,2017-03-17T14:27:30.000Z,False,239,241,1151,0,18,53551,0,4,0,0,10,0,0,8,0,0,4,0,0,0,0,22,1
422071896,jandressanabria,2011-11-26T19:30:32.000Z,False,233,364,10559,2,41,50758,4,12,0,1,15,0,1,10,0,0,5,0,0,14,0,46,1
440488823,alzunigam,2011-12-19T02:12:28.000Z,False,89,561,397,0,3,37,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,6,1
444132744,jurgen_reyes,2011-12-22T22:59:05.000Z,False,89,851,464,2,42,2253,0,0,0,2,24,0,2,15,0,1,2,0,0,0,0,46,1
445010426,JaryMadriz,2011-12-23T22:24:56.000Z,False,1061,477,13723,3,93,34727,29,211,1,3,33,0,3,19,0,0,15,0,2,12,0,87,1
447568898,solo_caro,2011-12-27T01:47:32.000Z,False,772,835,1115,11,19,2,2,36,0,5,6,3,0,0,0,4,4,2,2,1,0,27,1
70802199,albertlopez10,2009-09-01T22:14:45.000Z,False,51,114,121,0,4,91,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,7,1
2866378402,berrocal_sofia,2014-11-07T21:18:16.000Z,False,227,223,5381,0,4,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
